"","ISO_A0","adjusted_year","cases","full_name","continent","label_y","hemisphere","join","total_missing","YearN","YearN2","YearN3","YearN4","population_total","ave_cases","avg_inc","YearN_continent","YearN_country","offset1","country","countryID","continentID"
"98","ATG",2017,1,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2017",8,28,28,28,28,90468,70.2857142857143,77.7830472830165,"Caribbean_28","ATG_28",0.90468,"ATG",3,2
"99","ATG",2018,8,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2018",8,29,29,29,29,90926,70.2857142857143,77.7830472830165,"Caribbean_29","ATG_29",0.90926,"ATG",3,2
"100","ATG",2019,1223,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2019",8,30,30,30,30,91364,70.2857142857143,77.7830472830165,"Caribbean_30","ATG_30",0.91364,"ATG",3,2
"101","ATG",2020,407,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2020",8,31,31,31,31,91846,70.2857142857143,77.7830472830165,"Caribbean_31","ATG_31",0.91846,"ATG",3,2
"102","ATG",2021,46,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2021",8,32,32,32,32,92349,70.2857142857143,77.7830472830165,"Caribbean_32","ATG_32",0.92349,"ATG",3,2
"103","ATG",2022,48,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2022",8,33,33,33,33,92840,70.2857142857143,77.7830472830165,"Caribbean_33","ATG_33",0.9284,"ATG",3,2
"104","ATG",2023,272,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2023",8,34,34,34,34,93316,70.2857142857143,77.7830472830165,"Caribbean_34","ATG_34",0.93316,"ATG",3,2
"105","ATG",2024,143,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2024",8,35,35,35,35,93772,70.2857142857143,77.7830472830165,"Caribbean_35","ATG_35",0.93772,"ATG",3,2
"106","AUS",1990,138,"Australia","Oceania",-24.129522,"south","AUS 1990",0,1,1,1,1,17065128,2259.25714285714,9.94830746820933,"Oceania_1","AUS_1",170.65128,"AUS",4,4
"107","AUS",1991,1098,"Australia","Oceania",-24.129522,"south","AUS 1991",0,2,2,2,2,17284036,2259.25714285714,9.94830746820933,"Oceania_2","AUS_2",172.84036,"AUS",4,4
"108","AUS",1992,2070,"Australia","Oceania",-24.129522,"south","AUS 1992",0,3,3,3,3,17478635,2259.25714285714,9.94830746820933,"Oceania_3","AUS_3",174.78635,"AUS",4,4
"109","AUS",1993,51,"Australia","Oceania",-24.129522,"south","AUS 1993",0,4,4,4,4,17634808,2259.25714285714,9.94830746820933,"Oceania_4","AUS_4",176.34808,"AUS",4,4
"110","AUS",1994,51,"Australia","Oceania",-24.129522,"south","AUS 1994",0,5,5,5,5,17805468,2259.25714285714,9.94830746820933,"Oceania_5","AUS_5",178.05468,"AUS",4,4
"111","AUS",1995,120,"Australia","Oceania",-24.129522,"south","AUS 1995",0,6,6,6,6,18004882,2259.25714285714,9.94830746820933,"Oceania_6","AUS_6",180.04882,"AUS",4,4
"112","AUS",1996,930,"Australia","Oceania",-24.129522,"south","AUS 1996",0,7,7,7,7,18224767,2259.25714285714,9.94830746820933,"Oceania_7","AUS_7",182.24767,"AUS",4,4
"113","AUS",1997,900,"Australia","Oceania",-24.129522,"south","AUS 1997",0,8,8,8,8,18423037,2259.25714285714,9.94830746820933,"Oceania_8","AUS_8",184.23037,"AUS",4,4
"114","AUS",1998,1386,"Australia","Oceania",-24.129522,"south","AUS 1998",0,9,9,9,9,18607584,2259.25714285714,9.94830746820933,"Oceania_9","AUS_9",186.07584,"AUS",4,4
"115","AUS",1999,651,"Australia","Oceania",-24.129522,"south","AUS 1999",0,10,10,10,10,18812264,2259.25714285714,9.94830746820933,"Oceania_10","AUS_10",188.12264,"AUS",4,4
"116","AUS",2000,306,"Australia","Oceania",-24.129522,"south","AUS 2000",0,11,11,11,11,19028802,2259.25714285714,9.94830746820933,"Oceania_11","AUS_11",190.28802,"AUS",4,4
"117","AUS",2001,693,"Australia","Oceania",-24.129522,"south","AUS 2001",0,12,12,12,12,19274701,2259.25714285714,9.94830746820933,"Oceania_12","AUS_12",192.74701,"AUS",4,4
"118","AUS",2002,2073,"Australia","Oceania",-24.129522,"south","AUS 2002",0,13,13,13,13,19495210,2259.25714285714,9.94830746820933,"Oceania_13","AUS_13",194.9521,"AUS",4,4
"119","AUS",2003,1821,"Australia","Oceania",-24.129522,"south","AUS 2003",0,14,14,14,14,19720737,2259.25714285714,9.94830746820933,"Oceania_14","AUS_14",197.20737,"AUS",4,4
"120","AUS",2004,411,"Australia","Oceania",-24.129522,"south","AUS 2004",0,15,15,15,15,19932722,2259.25714285714,9.94830746820933,"Oceania_15","AUS_15",199.32722,"AUS",4,4
"121","AUS",2005,591,"Australia","Oceania",-24.129522,"south","AUS 2005",0,16,16,16,16,20176844,2259.25714285714,9.94830746820933,"Oceania_16","AUS_16",201.76844,"AUS",4,4
"122","AUS",2006,747,"Australia","Oceania",-24.129522,"south","AUS 2006",0,17,17,17,17,20450966,2259.25714285714,9.94830746820933,"Oceania_17","AUS_17",204.50966,"AUS",4,4
"123","AUS",2007,2091,"Australia","Oceania",-24.129522,"south","AUS 2007",0,18,18,18,18,20827622,2259.25714285714,9.94830746820933,"Oceania_18","AUS_18",208.27622,"AUS",4,4
"124","AUS",2008,3618,"Australia","Oceania",-24.129522,"south","AUS 2008",0,19,19,19,19,21249199,2259.25714285714,9.94830746820933,"Oceania_19","AUS_19",212.49199,"AUS",4,4
